"Batch.Order.ID","Market.Name","Stock.Name","Order.Type","Price","Quantity","Created.At","Quantity.Filled","GJP.User.ID"
741,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a death sentence","sell",80,100,"8/20/14 0:07",0,13351
742,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",30,100,"8/20/14 0:09",0,13351
743,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","sell",30,100,"8/20/14 0:10",0,13351
748,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a death sentence","sell",70,100,"8/20/14 0:20",0,13351
752,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","sell",30,100,"8/20/14 0:26",0,13351
758,"1383 - Who will win the April 2014 presidential elections in Afghanistan?","Abdullah Abdullah","sell",19,30,"8/20/14 3:46",30,6093
759,"1383 - Who will win the April 2014 presidential elections in Afghanistan?","Ashraf Ghani","buy",81,30,"8/20/14 3:47",30,6093
760,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",99,100,"8/20/14 3:48",0,6093
761,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a death sentence","buy",40,50,"8/20/14 3:49",50,6093
762,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a life sentence","buy",20,50,"8/20/14 3:49",0,6093
763,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","Some other outcome","sell",20,50,"8/20/14 3:50",0,6093
764,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",20,50,"8/20/14 3:50",0,6093
765,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","sell",50,50,"8/20/14 3:52",0,6093
766,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","buy",1,100,"8/20/14 3:52",0,6093
777,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",9,300,"8/20/14 4:31",0,6632
779,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",9,100,"8/20/14 4:32",0,6632
800,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a life sentence","buy",10,20,"8/20/14 5:30",0,9006
804,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","buy",1,1,"8/20/14 5:33",0,9006
819,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","Some other outcome","buy",4,500,"8/20/14 6:33",0,9860
820,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","Some other outcome","buy",5,400,"8/20/14 6:33",0,9860
821,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","Some other outcome","buy",6,350,"8/20/14 6:37",0,9860
823,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a death sentence","sell",60,100,"8/20/14 6:43",0,9860
824,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a death sentence","sell",59,100,"8/20/14 6:45",0,9860
826,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",99,100,"8/20/14 6:47",0,9860
828,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","sell",80,100,"8/20/14 6:51",0,9860
831,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","sell",25,100,"8/20/14 6:53",0,9860
833,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","sell",20,100,"8/20/14 6:54",0,9860
836,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",70,100,"8/20/14 6:57",0,9860
838,"1383 - Who will win the April 2014 presidential elections in Afghanistan?","Abdullah Abdullah","buy",1,100,"8/20/14 7:00",0,9860
845,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",60,50,"8/20/14 7:15",0,5562
846,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",20,20,"8/20/14 7:16",0,5562
848,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",60,50,"8/20/14 7:16",0,5562
851,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",30,20,"8/20/14 7:17",0,5562
852,"1383 - Who will win the April 2014 presidential elections in Afghanistan?","Ashraf Ghani","buy",50,50,"8/20/14 7:17",0,5562
854,"1383 - Who will win the April 2014 presidential elections in Afghanistan?","Ashraf Ghani","buy",65,20,"8/20/14 7:17",0,5562
866,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","sell",25,25,"8/20/14 7:44",0,2898
867,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",20,10,"8/20/14 7:45",0,2898
869,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",50,100,"8/20/14 7:49",0,13807
876,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","sell",30,75,"8/20/14 8:19",0,1485
