"ifp_id","ctt","cond","training","team","user_id","forecast_id","fcast_type","answer_option","value","fcast_date","expertise","q_status","viewtime","year","timestamp"
"1004-0","1a",1,"a",NA,"600",-200987,0,"a",0.1,"2011-08-31",1,"closed",NA,1,"2011-08-31 16:17:18"
"1004-0","1a",1,"a",NA,"600",-200987,0,"b",0.9,"2011-08-31",1,"closed",NA,1,"2011-08-31 16:17:18"
"1008-0","1a",1,"a",NA,"600",-200986,0,"a",0.25,"2011-08-31",2,"closed",NA,1,"2011-08-31 16:18:27"
"1008-0","1a",1,"a",NA,"600",-200986,0,"b",0.75,"2011-08-31",2,"closed",NA,1,"2011-08-31 16:18:27"
"1006-0","1a",1,"a",NA,"600",-200985,0,"a",0.1,"2011-08-31",3,"closed",NA,1,"2011-08-31 16:18:47"
"1006-0","1a",1,"a",NA,"600",-200985,0,"b",0.9,"2011-08-31",3,"closed",NA,1,"2011-08-31 16:18:47"
"1001-0","1a",1,"a",NA,"600",-200984,1,"a",0.1,"2011-08-31",2,"closed",NA,1,"2011-08-31 16:20:13"
"1001-0","1a",1,"a",NA,"600",-200984,1,"b",0.9,"2011-08-31",2,"closed",NA,1,"2011-08-31 16:20:13"
"1002-0","1a",1,"a",NA,"600",-200983,0,"a",0.15,"2011-08-31",2,"closed",NA,1,"2011-08-31 16:20:34"
"1002-0","1a",1,"a",NA,"600",-200983,0,"b",0.8,"2011-08-31",2,"closed",NA,1,"2011-08-31 16:20:34"
"1002-0","1a",1,"a",NA,"600",-200983,1,"c",0.05,"2011-08-31",2,"closed",NA,1,"2011-08-31 16:20:34"
"1003-0","1a",1,"a",NA,"600",-200982,1,"a",0.15,"2011-08-31",1,"closed",NA,1,"2011-08-31 16:20:48"
"1003-0","1a",1,"a",NA,"600",-200982,0,"b",0.85,"2011-08-31",1,"closed",NA,1,"2011-08-31 16:20:48"
"1005-0","1a",1,"a",NA,"600",-200981,0,"a",0.7,"2011-08-31",1,"closed",NA,1,"2011-08-31 16:21:07"
"1005-0","1a",1,"a",NA,"600",-200981,0,"b",0.3,"2011-08-31",1,"closed",NA,1,"2011-08-31 16:21:07"
"1001-0","1a",1,"a",NA,"2986",-200978,1,"a",0.1,"2011-08-31",2,"closed",NA,1,"2011-08-31 16:23:13"
"1001-0","1a",1,"a",NA,"2986",-200978,1,"b",0.9,"2011-08-31",2,"closed",NA,1,"2011-08-31 16:23:13"
"1002-0","1a",1,"a",NA,"2986",-200977,1,"a",0.8,"2011-08-31",1,"closed",NA,1,"2011-08-31 16:23:34"
"1002-0","1a",1,"a",NA,"2986",-200977,0,"b",0.1,"2011-08-31",1,"closed",NA,1,"2011-08-31 16:23:34"
"1002-0","1a",1,"a",NA,"2986",-200977,0,"c",0.1,"2011-08-31",1,"closed",NA,1,"2011-08-31 16:23:34"
"1003-0","1a",1,"a",NA,"2986",-200976,1,"a",0.5,"2011-08-31",1,"closed",NA,1,"2011-08-31 16:23:53"
"1003-0","1a",1,"a",NA,"2986",-200976,1,"b",0.5,"2011-08-31",1,"closed",NA,1,"2011-08-31 16:23:53"
"1004-0","1a",1,"a",NA,"2986",-200975,0,"a",0.05,"2011-08-31",2,"closed",NA,1,"2011-08-31 16:24:09"
"1004-0","1a",1,"a",NA,"2986",-200975,0,"b",0.95,"2011-08-31",2,"closed",NA,1,"2011-08-31 16:24:09"
"1005-0","1a",1,"a",NA,"2986",-200974,0,"a",0.5,"2011-08-31",1,"closed",NA,1,"2011-08-31 16:24:22"
"1005-0","1a",1,"a",NA,"2986",-200974,0,"b",0.5,"2011-08-31",1,"closed",NA,1,"2011-08-31 16:24:22"
"1006-0","1a",1,"a",NA,"2986",-200973,0,"a",0.05,"2011-08-31",4,"closed",NA,1,"2011-08-31 16:24:59"
"1006-0","1a",1,"a",NA,"2986",-200973,0,"b",0.95,"2011-08-31",4,"closed",NA,1,"2011-08-31 16:24:59"
"1001-0","1a",1,"a",NA,"3469",-200972,0,"a",0.2,"2011-08-31",2,"closed",NA,1,"2011-08-31 16:25:07"
"1001-0","1a",1,"a",NA,"3469",-200972,0,"b",0.8,"2011-08-31",2,"closed",NA,1,"2011-08-31 16:25:07"
"1004-0","1a",1,"a",NA,"3469",-200971,0,"a",0.85,"2011-08-31",4,"closed",NA,1,"2011-08-31 16:25:24"
"1004-0","1a",1,"a",NA,"3469",-200971,0,"b",0.15,"2011-08-31",4,"closed",NA,1,"2011-08-31 16:25:24"
"1006-0","1a",1,"a",NA,"3469",-200970,0,"a",0.1,"2011-08-31",3,"closed",NA,1,"2011-08-31 16:25:42"
"1006-0","1a",1,"a",NA,"3469",-200970,0,"b",0.9,"2011-08-31",3,"closed",NA,1,"2011-08-31 16:25:42"
"1008-0","1a",1,"a",NA,"2986",-200967,0,"a",0.5,"2011-08-31",1,"closed",NA,1,"2011-08-31 16:26:03"
"1008-0","1a",1,"a",NA,"2986",-200967,0,"b",0.5,"2011-08-31",1,"closed",NA,1,"2011-08-31 16:26:03"
"1004-0","1a",1,"a",NA,"5187",-200964,0,"a",0.95,"2011-08-31",2,"closed",NA,1,"2011-08-31 16:26:47"
"1004-0","1a",1,"a",NA,"5187",-200964,0,"b",0.05,"2011-08-31",2,"closed",NA,1,"2011-08-31 16:26:47"
"1004-0","1a",1,"a",NA,"636",-200962,0,"a",0.2,"2011-08-31",1,"closed",NA,1,"2011-08-31 16:28:14"
"1004-0","1a",1,"a",NA,"636",-200962,0,"b",0.8,"2011-08-31",1,"closed",NA,1,"2011-08-31 16:28:14"
"1001-0","1a",1,"a",NA,"4953",-200961,0,"a",0.4,"2011-08-31",1,"closed",NA,1,"2011-08-31 16:28:50"
"1001-0","1a",1,"a",NA,"4953",-200961,0,"b",0.6,"2011-08-31",1,"closed",NA,1,"2011-08-31 16:28:50"
"1002-0","1a",1,"a",NA,"4953",-200960,0,"a",0.3,"2011-08-31",2,"closed",NA,1,"2011-08-31 16:29:21"
"1002-0","1a",1,"a",NA,"4953",-200960,0,"b",0.7,"2011-08-31",2,"closed",NA,1,"2011-08-31 16:29:21"
"1002-0","1a",1,"a",NA,"4953",-200960,0,"c",0,"2011-08-31",2,"closed",NA,1,"2011-08-31 16:29:21"
"1002-0","1a",1,"a",NA,"636",-200959,0,"a",0.3,"2011-08-31",3,"closed",NA,1,"2011-08-31 16:29:32"
"1002-0","1a",1,"a",NA,"636",-200959,0,"b",0.5,"2011-08-31",3,"closed",NA,1,"2011-08-31 16:29:32"
"1002-0","1a",1,"a",NA,"636",-200959,1,"c",0.2,"2011-08-31",3,"closed",NA,1,"2011-08-31 16:29:32"
"1003-0","1a",1,"a",NA,"4953",-200958,1,"a",0.15,"2011-08-31",2,"closed",NA,1,"2011-08-31 16:29:41"
"1003-0","1a",1,"a",NA,"4953",-200958,1,"b",0.85,"2011-08-31",2,"closed",NA,1,"2011-08-31 16:29:41"
"1004-0","1a",1,"a",NA,"4953",-200957,1,"a",0.02,"2011-08-31",2,"closed",NA,1,"2011-08-31 16:30:06"
"1004-0","1a",1,"a",NA,"4953",-200957,0,"b",0.98,"2011-08-31",2,"closed",NA,1,"2011-08-31 16:30:06"
"1005-0","1a",1,"a",NA,"4953",-200956,0,"a",0.4,"2011-08-31",1,"closed",NA,1,"2011-08-31 16:30:21"
"1005-0","1a",1,"a",NA,"4953",-200956,0,"b",0.6,"2011-08-31",1,"closed",NA,1,"2011-08-31 16:30:21"
"1006-0","1a",1,"a",NA,"636",-200955,0,"a",0.5,"2011-08-31",1,"closed",NA,1,"2011-08-31 16:30:35"
"1006-0","1a",1,"a",NA,"636",-200955,0,"b",0.5,"2011-08-31",1,"closed",NA,1,"2011-08-31 16:30:35"
"1006-0","1a",1,"a",NA,"4953",-200954,0,"a",0.35,"2011-08-31",2,"closed",NA,1,"2011-08-31 16:31:04"
"1006-0","1a",1,"a",NA,"4953",-200954,0,"b",0.65,"2011-08-31",2,"closed",NA,1,"2011-08-31 16:31:04"
"1005-0","1a",1,"a",NA,"636",-200953,0,"a",0.5,"2011-08-31",1,"closed",NA,1,"2011-08-31 16:31:09"
"1005-0","1a",1,"a",NA,"636",-200953,0,"b",0.5,"2011-08-31",1,"closed",NA,1,"2011-08-31 16:31:09"
"1008-0","1a",1,"a",NA,"4953",-200951,0,"a",0.1,"2011-08-31",1,"closed",NA,1,"2011-08-31 16:31:41"
"1008-0","1a",1,"a",NA,"4953",-200951,0,"b",0.9,"2011-08-31",1,"closed",NA,1,"2011-08-31 16:31:41"
"1003-0","1a",1,"a",NA,"636",-200949,0,"a",0.15,"2011-08-31",1,"closed",NA,1,"2011-08-31 16:32:17"
"1003-0","1a",1,"a",NA,"636",-200949,0,"b",0.85,"2011-08-31",1,"closed",NA,1,"2011-08-31 16:32:17"
"1001-0","1a",1,"a",NA,"3846",-200948,0,"a",0.2,"2011-08-31",3,"closed",NA,1,"2011-08-31 16:32:25"
"1001-0","1a",1,"a",NA,"3846",-200948,0,"b",0.8,"2011-08-31",3,"closed",NA,1,"2011-08-31 16:32:25"
"1001-0","1a",1,"a",NA,"636",-200947,0,"a",0.05,"2011-08-31",2,"closed",NA,1,"2011-08-31 16:33:31"
"1001-0","1a",1,"a",NA,"636",-200947,0,"b",0.95,"2011-08-31",2,"closed",NA,1,"2011-08-31 16:33:31"
"1008-0","1a",1,"a",NA,"636",-200945,0,"a",0.5,"2011-08-31",1,"closed",NA,1,"2011-08-31 16:38:16"
"1008-0","1a",1,"a",NA,"636",-200945,0,"b",0.5,"2011-08-31",1,"closed",NA,1,"2011-08-31 16:38:16"
"1001-0","1a",1,"a",NA,"5187",-200944,0,"a",0.4,"2011-08-31",2,"closed",NA,1,"2011-08-31 16:38:40"
"1001-0","1a",1,"a",NA,"5187",-200944,0,"b",0.6,"2011-08-31",2,"closed",NA,1,"2011-08-31 16:38:40"
"1001-0","1a",1,"a",NA,"2945",-200943,0,"a",0.35,"2011-08-31",3,"closed",NA,1,"2011-08-31 16:40:32"
"1001-0","1a",1,"a",NA,"2945",-200943,0,"b",0.65,"2011-08-31",3,"closed",NA,1,"2011-08-31 16:40:32"
"1002-0","1a",1,"a",NA,"5187",-200942,0,"a",0.7,"2011-08-31",2,"closed",NA,1,"2011-08-31 16:41:42"
"1002-0","1a",1,"a",NA,"5187",-200942,0,"b",0.3,"2011-08-31",2,"closed",NA,1,"2011-08-31 16:41:42"
"1002-0","1a",1,"a",NA,"5187",-200942,0,"c",0,"2011-08-31",2,"closed",NA,1,"2011-08-31 16:41:42"
"1002-0","1a",1,"a",NA,"2945",-200941,0,"a",0.3,"2011-08-31",4,"closed",NA,1,"2011-08-31 16:42:02"
"1002-0","1a",1,"a",NA,"2945",-200941,0,"b",0.6,"2011-08-31",4,"closed",NA,1,"2011-08-31 16:42:02"
"1002-0","1a",1,"a",NA,"2945",-200941,1,"c",0.1,"2011-08-31",4,"closed",NA,1,"2011-08-31 16:42:02"
"1003-0","1a",1,"a",NA,"2945",-200940,1,"a",0.05,"2011-08-31",2,"closed",NA,1,"2011-08-31 16:42:22"
"1003-0","1a",1,"a",NA,"2945",-200940,0,"b",0.95,"2011-08-31",2,"closed",NA,1,"2011-08-31 16:42:22"
"1004-0","1a",1,"a",NA,"2945",-200939,0,"a",0.55,"2011-08-31",3,"closed",NA,1,"2011-08-31 16:42:42"
"1004-0","1a",1,"a",NA,"2945",-200939,0,"b",0.45,"2011-08-31",3,"closed",NA,1,"2011-08-31 16:42:42"
"1005-0","1a",1,"a",NA,"2945",-200938,0,"a",0.5,"2011-08-31",1,"closed",NA,1,"2011-08-31 16:42:56"
"1005-0","1a",1,"a",NA,"2945",-200938,0,"b",0.5,"2011-08-31",1,"closed",NA,1,"2011-08-31 16:42:56"
"1006-0","1a",1,"a",NA,"2945",-200937,0,"a",0.6,"2011-08-31",3,"closed",NA,1,"2011-08-31 16:43:31"
"1006-0","1a",1,"a",NA,"2945",-200937,1,"b",0.4,"2011-08-31",3,"closed",NA,1,"2011-08-31 16:43:31"
"1008-0","1a",1,"a",NA,"2945",-200935,1,"a",0.2,"2011-08-31",3,"closed",NA,1,"2011-08-31 16:44:17"
"1008-0","1a",1,"a",NA,"2945",-200935,1,"b",0.8,"2011-08-31",3,"closed",NA,1,"2011-08-31 16:44:17"
"1004-0","1a",1,"a",NA,"1414",-200933,1,"a",0.1,"2011-08-31",3,"closed",NA,1,"2011-08-31 16:47:19"
"1004-0","1a",1,"a",NA,"1414",-200933,0,"b",0.9,"2011-08-31",3,"closed",NA,1,"2011-08-31 16:47:19"
"1002-0","1a",1,"a",NA,"2625",-200931,0,"a",0.25,"2011-08-31",4,"closed",NA,1,"2011-08-31 16:54:41"
"1002-0","1a",1,"a",NA,"2625",-200931,0,"b",0.75,"2011-08-31",4,"closed",NA,1,"2011-08-31 16:54:41"
