ifp_id,q_type,q_text,q_desc,q_status,date_start,date_suspend,date_to_close,date_closed,outcome,short_title,days_open,n_opts,options
1001-0,0,"Will the Six-Party talks (among the US, North Korea, South Korea, Russia, China, and Japan) formally resume in 2011?","'In' refers to any time during the remainder of the 2011 calendar year, as defined by Eastern Time. Outcome will be resolved based on reporting from one or more of the following sources: BBC News or Reuters or Economist Online (http://www.bbc.co.uk/news/ or http://www.reuters.com/ or http://www.economist.com). If nothing is reported in these sources, then the 'status quo' outcome typically will be assumed (e.g., for a question about a political leader leaving office, an absence of reporting will be taken to indicate that the leader remains in office).  Administrator reserves the right to use other sources as needed (e.g., CIA World Factbook, Wikipedia), provided those sources do not directly contradict concurrent event reporting from BBC News, Reuters, or Economist Online. In cases of substantial controversy or uncertainty, Administrator may refer the question to outside subject matter experts, or we may deem the question invalid/void.",closed,9/1/11,12/30/11 0:00,12/31/11,1/2/12,b,Six-party talks resume,123,2,"(a) Yes, (b) No"
1002-0,0,Who will be inaugurated as President of Russia in 2012?,"'In' refers to any time during the 2012 calendar year, as defined by Eastern Time. Election victory alone is insufficient. The putative winner must be inaugurated. Note that inauguration does not require or imply a change of power: re-elected leaders (i.e., Medvedev) are re-inaugurated. If either there is no election or no inauguration, this question will close and will not be scored.  Outcome will be resolved based on reporting from one or more of the following sources: BBC News or Reuters or Economist Online (http://www.bbc.co.uk/news/ or http://www.reuters.com/ or http://www.economist.com). If nothing is reported in these sources, then the 'status quo' outcome typically will be assumed (e.g., for a question about a political leader leaving office, an absence of reporting will be taken to indicate that the leader remains in office).  Administrator reserves the right to use other sources as needed (e.g., CIA World Factbook, Wikipedia), provided those sources do not directly contradict concurrent event reporting from BBC News, Reuters, or Economist Online. In cases of substantial controversy or uncertainty, administrator may refer the question to outside subject matter experts, or we may deem the question invalid/void.",closed,9/1/11,5/14/12 0:00,5/15/12,5/6/12,b,president of Russia,248,3,"(a) Medvedev, (b) Putin, (c) Neither"
1003-0,0,Will Serbia be officially granted EU candidacy by 31 December 2011?,"A 'yes' answer to this question requires not only that by end of day 31 December (11:59:59 pm ET) the European Commission has recommended that Serbia be granted candidacy, but also that the Commission has formally named Serbia a candidate.  Outcome will be resolved based on reporting from one or more of the following sources: BBC News or Reuters or Economist Online (http://www.bbc.co.uk/news/ or http://www.reuters.com/ or http://www.economist.com). If nothing is reported in these sources, then the 'status quo' outcome typically will be assumed (e.g., for a question about a political leader leaving office, an absence of reporting will be taken to indicate that the leader remains in office). Administrator reserves the right to use other sources as needed (e.g., CIA World Factbook, Wikipedia), provided those sources do not directly contradict concurrent event reporting from BBC News, Reuters, or Economist Online. In cases of substantial controversy or uncertainty, administrator may refer the question to outside subject matter experts, or we may deem the question invalid/void.",closed,9/1/11,12/30/11 0:00,12/31/11,1/3/12,b,Serbia EU candidacy,124,2,"(a) Yes, (b) No"
1004-0,0,Will the United Nations General Assembly recognize a Palestinian state by 30 September 2011?,"'By' means at or prior to the end of the day on 30 September 2011 (11:59:59 pm ET).  Outcome will be resolved based on reporting from one or more of the following sources: BBC News or Reuters or Economist Online (http://www.bbc.co.uk/news/ or http://www.reuters.com/ or http://www.economist.com). If nothing is reported in these sources, then the 'status quo' outcome typically will be assumed (e.g., for a question about a political leader leaving office, an absence of reporting will be taken to indicate that the leader remains in office).  Administrator reserves the right to use other sources as needed (e.g., CIA World Factbook, Wikipedia), provided those sources do not directly contradict concurrent event reporting from BBC News, Reuters, or Economist Online. In cases of substantial controversy or uncertainty, administrator may refer the question to outside subject matter experts, or we may deem the question invalid/void.",closed,9/1/11,9/29/11 0:00,9/30/11,9/30/11,b,UN-GA recognize Palestine,29,2,"(a) Yes, (b) No"
1005-0,0,Will Daniel Ortega win another term as President of Nicaragua during the late 2011 elections?,"If the Nicaraguan elections do not occur in late 2011, this question will be voided.  Outcome will be resolved based on reporting from one or more of the following sources: BBC News or Reuters or Economist Online (http://www.bbc.co.uk/news/ or http://www.reuters.com/ or http://www.economist.com). If nothing is reported in these sources, then the 'status quo' outcome typically will be assumed (e.g., for a question about a political leader leaving office, an absence of reporting will be taken to indicate that the leader remains in office).  Administrator reserves the right to use other sources as needed (e.g., CIA World Factbook, Wikipedia), provided those sources do not directly contradict concurrent event reporting from BBC News, Reuters, or Economist Online. In cases of substantial controversy or uncertainty, administrator may refer the question to outside subject matter experts, or we may deem the question invalid/void.",closed,9/1/11,11/4/11 0:00,11/5/11,11/5/11,a,Ortega win in Nicaragua,65,2,"(a) Yes, (b) No"
1006-0,0,Will Italy restructure or default on its debt by 31 December 2011?,'By' means at or prior to the end (11:59:59 pm ET) of 31 December 2011.  The answer to this question will be determined by the actions of the International Swaps and Derivatives Association (ISDA). The answer will be yes if the ISDA Credit Derivatives Determinations Committee (DC) for Europe determines by 31 December 2011 that a credit event pertaining to Italian government obligations has occurred that triggers payments under outstanding credit default swap contracts. Credit events include such things as failure to pay and restructuring.   Reports of ISDA decisions can be found at http://www.isda.org/credit/. ,closed,9/1/11,12/30/11 0:00,12/31/11,1/3/12,b,Italy restructure debt,124,2,"(a) Yes, (b) No"
1007-0,0,Will there be a lethal confrontation involving government forces in the South China Sea or East China Sea by 31 December 2011?,"'By' means at or prior to the end (11:59:59 pm ET) of 31 December 2011.  Will there be a lethal armed confrontation over a maritime or territorial dispute in the South China Sea or East China Sea by 31 December 2011? The dispute involves government assets of at least one of the following countries (PRC, Taiwan, Vietnam, South Korea, North Korea, Japan, the Philippines, Malaysia, Indonesia, Brunei, or the United States) in territories including the Spratly, Paracel, and Senkaku islands. ""Lethal"" requires at least one death (government or civilian). The East China Sea includes the Yellow Sea. Outcome will be resolved based on reporting from one or more of the following sources: BBC News or Reuters or Economist Online (http://www.bbc.co.uk/news/ or http://www.reuters.com/ or http://www.economist.com).  If nothing is reported in these sources, then the 'status quo' outcome typically will be assumed (e.g., for a question about a political leader leaving office, an absence of reporting will be taken to indicate that the leader remains in office). Administrator reserves the right to use other sources as needed (e.g., CIA World Factbook, Wikipedia), provided those sources do not directly contradict concurrent event reporting from BBC News, Reuters, or Economist Online. In cases of substantial controversy or uncertainty, Administrator may refer the question to outside subject matter experts, or we may deem the question invalid/void.",closed,9/1/11,12/30/11 0:00,12/31/11,12/11/11,b,confrontation in S. or E. China Sea,101,3,"(a) Yes, by 15 October 2011, (b) Yes, between 16 Oct and 31 Dec, (c) No"
1008-0,0,"By 31 December 2011, will the World Trade Organization General Council or Ministerial Conference approve the 'accession package' for WTO membership for Russia?","'By' means at or prior to the end (11:59:59 pm ET) of 31 December 2011.  Outcome will be resolved based on reporting from one or more of the following sources: BBC News or Reuters or Economist Online (http://www.bbc.co.uk/news/ or http://www.reuters.com/ or http://www.economist.com). If nothing is reported in these sources, then the 'status quo' outcome typically will be assumed (e.g., for a question about a political leader leaving office, an absence of reporting will be taken to indicate that the leader remains in office). Administrator reserves the right to use other sources as needed (e.g., CIA World Factbook, Wikipedia), provided those sources do not directly contradict concurrent event reporting from BBC News, Reuters, or Economist Online. In cases of substantial controversy or uncertainty, administrator may refer the question to outside subject matter experts, or we may deem the question invalid/void.",closed,9/1/11,12/30/11 0:00,12/31/11,12/16/11,a,WTO membership for Russia,106,2,"(a) Yes, (b) No"
1009-0,0,By 1 January 2012 will the Iraqi government sign a security agreement that allows US troops to remain in Iraq?,"'By' means at or prior to the end (11:59:59 pm ET) of 1 January 2012.   For the purposes of this question, a security agreement is an agreement approved by the Council of Representatives to allow U.S. military forces to stay beyond 2011. An MOU or FMS approved unilaterally by the Prime Minister would not count. Outcome will be resolved based on reporting from one or more of the following sources: BBC News or Reuters or Economist Online (http://www.bbc.co.uk/news/ or http://www.reuters.com/ or http://www.economist.com). If nothing is reported in these sources, then the 'status quo' outcome typically will be assumed (e.g., for a question about a political leader leaving office, an absence of reporting will be taken to indicate that the leader remains in office).  Administrator reserves the right to use other sources as needed (e.g., CIA World Factbook, Wikipedia), provided those sources do not directly contradict concurrent event reporting from BBC News, Reuters, or Economist Online. In cases of substantial controversy or uncertainty, administrator may refer the question to outside subject matter experts, or we may deem the question invalid/void.",closed,9/1/11,12/31/11 0:00,1/1/12,1/3/12,c,Iraq allow US troops to remain,124,3,"(a) Yes, by 15 October 2011, (b) Yes, between 16 Oct and 1 Jan, (c) No"
1010-0,0,"Will the 30 Sept 2011 ""last"" PPB for Nov 2011 Brent Crude oil futures* exceed $115?","PPB= price per barrel. Different variants of Brent Crude oil futures are traded around the world, but we are interested in the price of the ""Brent Crude Oil Last Day Financial Futures"" contract on the Chicago Mercantile exchange (http://www.cmegroup.com/trading/energy/crude-oil/brent-crude-oil-last-day_quotes_settlements_futures.html). This particular futures contract is essentially a bet on where the price of oil will be on the first Business day of a given month. We are asking for you to forecast the probability that the ""last price"" (http://www.mypivots.com/dictionary/definition/188/settlement-price) of November 2011 Brent crude futures exceeds some amount at the end of September 30's trading (515ET). For more information on Brent futures contracts specifications, see http://www.cmegroup.com/trading/energy/crude-oil/brent-crude-oil-last-day_contract_specifications.html. ",closed,9/7/11,9/29/11 0:00,9/30/11,9/30/11,b,Crude oil exceed $115,23,2,"(a) Yes, (b) No"
1011-0,0,"Will the Nikkei 225 index finish trading at or above 9,500 on 30 September 2011?","This question will resolve at the end of Stock Market trading in Tokyo on September 30 2011, at 3pm Japan Standard Time (JST). Resolution will occur according to data at Google Finance at http://www.google.com/finance?q=INDEXNIKKEI:NI225",closed,9/7/11,9/28/11 0:00,9/29/11,9/29/11,b,"Nikkei above 9,500",22,2,"(a) Yes, (b) No"
1012-0,0,"Will Italy's Silvio Berlusconi resign, lose re-election/confidence vote, OR otherwise vacate office before 1 October 2011?","Before should be interpreted to mean at or prior to the end (11:59:59 ET) of the previous day. Outcome will be resolved 'no' if Berlusconi holds the position of Prime Minister at this time and has not resigned or suffered electoral/confidence vote defeat. Outcome will be resolved based on reporting from one or more of the following sources: BBC News or Reuters or Economist Online (http://www.bbc.co.uk/news/ or http://www.reuters.com/ or http://www.economist.com). If nothing is reported in these sources, then the 'status quo' outcome typically will be assumed (e.g., for a question about a political leader leaving office, an absence of reporting will be taken to indicate that the leader remains in office). Administrator reserves the right to use other sources as needed (e.g., CIA World Factbook, Wikipedia), provided those sources do not directly contradict concurrent event reporting from BBC News, Reuters, or Economist Online. In cases of substantial controversy or uncertainty, administrator may refer the question to outside subject matter experts, or we may deem the question invalid/void. ",closed,9/7/11,9/29/11 0:00,9/30/11,9/30/11,b,Berlusconi vacate office,23,2,"(a) Yes, (b) No"
1013-0,0,Will the London Gold Market Fixing price of gold (USD per ounce) exceed $1850 on 30 September 2011 (10am ET)?,"Question will be resolved according to data at http://www.kitco.com/charts/historicalgold.html for the afternoon fixing price on September 30, which is announced at 3pm London time (or 10AM ET). ",closed,9/7/11,9/29/11 0:00,9/30/11,9/30/11,b,Gold exceed $1850,23,2,"(a) Yes, (b) No"
1014-0,0,"Who will win the September 2011 Guatemalan presidential election, or will a run-off be needed?","In order for a winner to be declared in September (avoiding need for run-off), one candidate must win more than 50% of the votes. Outcome will be resolved based on reporting from one or more of the following sources: BBC News or Reuters or Economist Online (http://www.bbc.co.uk/news/ or http://www.reuters.com/ or http://www.economist.com). If nothing is reported in these sources, then the 'status quo' outcome typically will be assumed (e.g., for a question about a political leader leaving office, an absence of reporting will be taken to indicate that the leader remains in office). Administrator reserves the right to use other sources as needed (e.g., CIA World Factbook, Wikipedia), provided those sources do not directly contradict concurrent event reporting from BBC News, Reuters, or Economist Online. In cases of substantial controversy or uncertainty, administrator may refer the question to outside subject matter experts, or we may deem the question invalid/void.",closed,9/7/11,9/9/11 0:00,9/10/11,9/10/11,c,Guatamalan presidential election,3,3,"(a) Otto Perez Molina, (b) Rigoberta Menchu, (c) Other or Run-Off"
1015-0,0,Will Israel's ambassador be formally invited to return to Turkey by 30 September 2011?,"Question will be voided if Israeli ambassador never leaves Turkey. ""By"" means at or prior to the end (11:59:59 pm ET) of 30 September 2011. Outcome will be resolved based on reporting from BBC News or Reuters or Economist Online (http://www.bbc.co.uk/news/ or http://www.reuters.com/ or http://www.economist.com). If nothing is reported in these sources, then the 'status quo' outcome typically will be assumed (e.g., for a question about a political leader leaving office, an absence of reporting will be taken to indicate that the leader remains has not left office). Administrator reserves the right to use other sources as needed (e.g., CIA World Factbook, Wikipedia), provided those sources do not directly contradict concurrent event reporting from BBC News, Reuters, or Economist Online.  In cases of substantial controversy or uncertainty, administrator may refer the question to outside subject matter experts, or we may deem the question invalid/void.",closed,9/7/11,9/29/11 0:00,9/30/11,9/30/11,b,Israel's ambassador to Turkey,23,2,"(a) Yes, (b) No"
1016-0,0,Will PM Donald Tusk's Civic Platform Party win more seats than any other party in the October 2011 Polish parliamentary elections?,"Outcome will be resolved based on reporting from BBC News or Reuters or Economist Online (http://www.bbc.co.uk/news/ or http://www.reuters.com/ or http://www.economist.com). If nothing is reported in these sources, then the 'status quo' outcome typically will be assumed (e.g., for a question about a political leader leaving office, an absence of reporting will be taken to indicate that the leader remains has not left office). Administrator reserves the right to use other sources as needed (e.g., CIA World Factbook, Wikipedia), provided those sources do not directly contradict concurrent event reporting from BBC News, Reuters, or Economist Online.  In cases of substantial controversy or uncertainty, administrator may refer the question to outside subject matter experts, or we may deem the question invalid/void.",closed,9/7/11,10/7/11 0:00,10/8/11,10/8/11,a,CPP majority in Poland,31,2,"(a) Yes, (b) No"
