"Batch.Order.ID","Market.Name","Stock.Name","Order.Type","Price","Quantity","Created.At","Quantity.Filled","GJP.User.ID"
753,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a death sentence","buy",60,10,"8/20/14 0:52",10,21815
754,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","sell",60,50,"8/20/14 0:59",0,8545
755,"1383 - Who will win the April 2014 presidential elections in Afghanistan?","Ashraf Ghani","buy",55,10,"8/20/14 2:23",0,21815
776,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",60,100,"8/20/14 4:28",0,21682
778,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","sell",65,100,"8/20/14 4:32",0,21682
780,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",75,100,"8/20/14 4:33",0,21682
781,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",50,30,"8/20/14 4:46",0,21826
782,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a sentence less than life","sell",60,30,"8/20/14 4:49",0,21826
783,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",60,30,"8/20/14 4:53",0,21826
784,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","sell",50,30,"8/20/14 4:53",0,21826
785,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a death sentence","buy",60,10,"8/20/14 4:54",10,21826
786,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a life sentence","sell",50,10,"8/20/14 4:55",0,21826
787,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","Some other outcome","sell",60,10,"8/20/14 4:55",0,21826
789,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",15,100,"8/20/14 4:57",0,21820
790,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",60,50,"8/20/14 4:58",0,8545
791,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","buy",5,50,"8/20/14 4:59",0,21820
792,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","sell",35,50,"8/20/14 4:59",0,21820
795,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",50,10,"8/20/14 5:22",0,4064
797,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","sell",40,10,"8/20/14 5:25",0,4064
798,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","Some other outcome","sell",50,10,"8/20/14 5:26",0,4064
802,"1383 - Who will win the April 2014 presidential elections in Afghanistan?","Ashraf Ghani","buy",60,10,"8/20/14 5:32",10,21826
803,"1383 - Who will win the April 2014 presidential elections in Afghanistan?","Abdullah Abdullah","sell",50,10,"8/20/14 5:32",0,21826
807,"1383 - Who will win the April 2014 presidential elections in Afghanistan?","Ashraf Ghani","buy",80,200,"8/20/14 5:49",0,21762
808,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a life sentence","buy",10,50,"8/20/14 5:50",0,21762
809,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a life sentence","sell",45,50,"8/20/14 5:51",0,21762
811,"1383 - Who will win the April 2014 presidential elections in Afghanistan?","Ashraf Ghani","buy",85,10,"8/20/14 5:53",0,21627
813,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","buy",18,100,"8/20/14 6:03",100,21842
814,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","buy",10,10,"8/20/14 6:06",10,21627
815,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",20,1,"8/20/14 6:09",0,21656
816,"1383 - Who will win the April 2014 presidential elections in Afghanistan?","Ashraf Ghani","sell",50,1,"8/20/14 6:12",1,21656
817,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",15,40,"8/20/14 6:23",0,21627
818,"1383 - Who will win the April 2014 presidential elections in Afghanistan?","Ashraf Ghani","buy",85,1,"8/20/14 6:28",1,21627
825,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",8,150,"8/20/14 6:45",115,14312
827,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",30,10,"8/20/14 6:49",0,21846
832,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","buy",1,1,"8/20/14 6:54",0,21627
834,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","Some other outcome","buy",1,1,"8/20/14 6:54",0,21627
835,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","sell",30,50,"8/20/14 6:56",0,21627
839,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",20,10,"8/20/14 7:05",0,21788
840,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",3,5,"8/20/14 7:09",5,21612
841,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a life sentence","sell",50,50,"8/20/14 7:09",0,21627
842,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",42,100,"8/20/14 7:11",0,21735
865,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","buy",25,20,"8/20/14 7:36",20,21829
868,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",10,20,"8/20/14 7:48",20,21837
870,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",20,20,"8/20/14 7:50",0,21837
871,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","sell",15,20,"8/20/14 7:51",0,21837
872,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a death sentence","buy",63,100,"8/20/14 7:53",55,21837
874,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",30,10,"8/20/14 8:13",0,21601
883,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",20,50,"8/20/14 8:34",0,21627
890,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",10,50,"8/20/14 8:44",50,21782
892,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",10,10,"8/20/14 8:52",10,21661
893,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","buy",10,5,"8/20/14 8:52",5,21661
903,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","sell",40,50,"8/20/14 9:00",0,21844
909,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","buy",10,20,"8/20/14 9:11",20,21662
