"Batch.Order.ID","Market.Name","Stock.Name","Order.Type","Price","Quantity","Created.At","Quantity.Filled","GJP.Team.ID","GJP.User.ID"
740,"1383 - Who will win the April 2014 presidential elections in Afghanistan?","Ashraf Ghani","buy",50,40,"8/20/14 0:03",0,18,8776
837,"1383 - Who will win the April 2014 presidential elections in Afghanistan?","Ashraf Ghani","buy",65,77,"8/20/14 6:59",0,6,22151
878,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",10,25,"8/20/14 8:27",25,6,22151
879,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",40,50,"8/20/14 8:32",0,5,22118
880,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",40,20,"8/20/14 8:32",0,1,14767
881,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a death sentence","buy",60,50,"8/20/14 8:33",0,5,22118
885,"1383 - Who will win the April 2014 presidential elections in Afghanistan?","Ashraf Ghani","buy",60,50,"8/20/14 8:35",0,5,22118
886,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a life sentence","buy",20,500,"8/20/14 8:35",0,6,22151
887,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","sell",40,50,"8/20/14 8:35",0,5,22118
888,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",60,50,"8/20/14 8:37",0,5,22118
889,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","buy",40,50,"8/20/14 8:40",50,5,22118
902,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",5,250,"8/20/14 8:58",250,6,22151
916,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","sell",50,100,"8/20/14 9:16",0,19,22017
924,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",20,100,"8/20/14 9:21",0,18,22016
926,"1360 - What will be the outcome of Mohammed Morsi's trial on the charge of espionage?","A guilty verdict and a death sentence","buy",35,100,"8/20/14 9:23",0,29,21957
954,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","sell",35,50,"8/20/14 9:46",0,18,22016
976,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","buy",30,100,"8/20/14 10:04",65,20,3654
977,"1415 - Will there be a **lethal confrontation involving Russian **national military forces in Ukraine **before 1 October 2014?","Yes","buy",75,100,"8/20/14 10:04",100,20,3654
987,"1414 - On 15 September 2014, will the Arctic sea ice extent be less than that of 15 September 2013?","Yes","sell",50,200,"8/20/14 10:12",200,2,8158
989,"1414 - On 15 September 2014, will the Arctic sea ice extent be less than that of 15 September 2013?","Yes","buy",70,100,"8/20/14 10:13",100,18,22016
